Sample Number (#),Time (ms),Neck right / left lateral bending (+/-),Neck right / left rotation (+/-),Neck flexion / extension (+/-),Back right / left lateral bending (+/-),Back right / left rotation (+/-),Back flexion / extension (+/-),Shoulder (L) abduction / adduction (+/-),Shoulder (L) internal / external rotation (+/-),Shoulder (L) flexion / extension (+/-),Shoulder (R) abduction / adduction (+/-),Shoulder (R) internal / external rotation (+/-),Shoulder (R) flexion / extension (+/-),Elbow (L) supination / pronation (+/-),Elbow (L) flexion / extension (+/-),Elbow (R) supination / pronation (+/-),Elbow (R) flexion / extension (+/-),Wrist (L) flexion / extension (+/-),Wrist (L) ulnar / radial deviation (+/-),Wrist (R) flexion / extension (+/-),Wrist (R) ulnar / radial deviation (+/-),Hip (L) abduction / adduction (+/-),Hip (L) internal / external rotation (+/-),Hip (L) flexion / extension (+/-),Hip (R) abduction / adduction (+/-),Hip (R) internal / external rotation (+/-),Hip (R) flexion / extension (+/-),Knee (L) valgus / varus (+/-),Knee (L) internal / external rotation (+/-),Knee (L) flexion / extension (+/-),Knee (R) valgus / varus (+/-),Knee (R) internal / external rotation (+/-),Knee (R) flexion / extension (+/-),Ankle (L) eversion / inversion (+/-),Ankle (L) abduction / adduction (+/-),Ankle (L) dorsiflexion / plantarflexion (+/-),Ankle (R) eversion / inversion (+/-),Ankle (R) abduction / adduction (+/-),Ankle (R) dorsiflexion / plantarflexion (+/-)
15368,120.0547,0,35.28,-2.59,2.2,44.13,-1.5,1.91,20.67,-5.97,9.67,-28.82,23.57,-55.12,7.81,-11.57,-3.05,2.81,-0.08,-0.23,14.99,0.35,53.86,24.15,-0.05,-87.72,12.2,-5.93,-58.86,6.58,-21.82,54.3,26.42,-11.37,-99.85,-10.3,-39.1,-20.69,-82.54
15369,120.0625,0,35.15,-2.54,2.21,44.19,-1.77,2.12,20.58,-5.98,9.85,-29.21,23.58,-54.93,8.33,-11.83,-3.29,2.52,-0.1,0.29,14.89,0.24,53.27,23.96,-0.41,-87.84,13.29,-5.71,-58.79,6.5,-21.91,54.93,27.28,-11.08,-100.11,-10.03,-38.31,-21.97,-83.38
15370,120.0703,-0.01,35,-2.46,2.17,44.29,-2.02,2.37,20.5,-5.97,9.99,-29.6,23.62,-54.72,8.86,-12.13,-3.51,2.24,-0.12,0.71,14.77,0.13,52.8,23.77,-0.71,-88.41,14.38,-5.45,-58.74,6.45,-21.91,56,27.86,-10.76,-100.33,-9.8,-37.26,-20.76,-83.17
15371,120.0781,-0.03,34.84,-2.37,2.07,44.42,-2.19,2.64,20.45,-5.94,10.11,-29.98,23.66,-54.49,9.37,-12.46,-3.71,1.99,-0.14,1.03,14.65,-0.01,52.47,23.54,-1.04,-89.27,15.42,-5.15,-58.68,6.42,-21.53,57.72,28.4,-10.39,-100.55,-9.69,-35.97,-17.39,-82.41
15372,120.0859,-0.06,34.67,-2.28,1.92,44.6,-2.27,2.92,20.45,-5.89,10.21,-30.37,23.69,-54.25,9.82,-12.81,-3.88,1.75,-0.16,1.25,14.54,-0.19,52.29,23.25,-1.45,-90.28,16.41,-4.85,-58.64,6.42,-20.98,59.65,28.86,-10.05,-100.65,-9.63,-34.39,-13.1,-81.53
15373,120.0938,-0.1,34.49,-2.19,1.75,44.8,-2.26,3.2,20.53,-5.81,10.3,-30.78,23.72,-53.97,10.21,-13.18,-4,1.94,-1,1.38,14.43,-0.35,52.22,22.94,-2.01,-91.65,17.3,-4.57,-58.58,6.44,-20.4,61.93,29.23,-9.77,-100.6,-9.56,-32.84,-9.48,-80.99
15374,120.1016,-0.15,34.32,-2.11,1.62,45.02,-2.18,3.49,20.67,-5.7,10.38,-31.2,23.74,-53.68,10.52,-13.58,-4.1,1.78,-1.02,1.43,14.32,-0.46,52.21,22.6,-2.71,-92.96,18.08,-4.31,-58.44,6.47,-19.83,64.09,29.65,-9.53,-100.43,-9.51,-31.39,-6.12,-80.62
15375,120.1094,-0.21,34.15,-2.04,1.56,45.25,-2.08,3.77,20.9,-5.55,10.45,-31.64,23.76,-53.38,10.75,-13.98,-4.18,1.67,-1.03,1.41,14.21,-0.57,52.24,22.25,-3.49,-94.18,18.71,-4.08,-58.2,6.44,-19.28,65.97,29.99,-9.3,-100.19,-9.46,-30,-2.47,-80.12
15376,120.1172,-0.28,34.01,-1.99,1.56,45.5,-1.94,4.04,21.2,-5.36,10.54,-32.07,23.79,-53.06,10.9,-14.39,-4.25,1.6,-1.02,1.35,14.11,-0.69,52.3,21.87,-4.28,-95.3,19.21,-3.88,-57.9,6.34,-18.8,67.54,30.14,-9.1,-99.89,-9.4,-28.67,1.48,-79.4
15377,120.125,-0.35,33.88,-1.96,1.59,45.75,-1.76,4.3,21.57,-5.15,10.66,-32.49,23.83,-52.75,10.97,-14.79,-4.33,1.57,-1,1.26,14.02,-0.82,52.39,21.43,-4.96,-96.31,19.61,-3.7,-57.58,6.18,-18.41,68.73,30.08,-8.91,-99.57,-9.34,-27.48,5.35,-78.46
15378,120.1328,-0.4,33.77,-1.95,1.67,45.99,-1.55,4.53,22,-4.92,10.8,-32.89,23.86,-52.43,10.95,-15.16,-4.42,1.58,-0.96,1.16,13.94,-0.9,52.5,20.9,-5.52,-97.18,19.95,-3.49,-57.31,6,-18.06,69.46,29.81,-8.73,-99.31,-9.27,-26.46,8.92,-77.27
15379,120.1406,-0.45,33.67,-1.97,1.78,46.24,-1.34,4.73,22.48,-4.68,10.96,-33.26,23.89,-52.1,10.86,-15.49,-4.51,1.63,-0.91,1.09,13.88,-0.92,52.64,20.3,-5.97,-97.87,20.23,-3.25,-57.17,5.79,-17.72,69.71,29.39,-8.57,-99.18,-9.18,-25.62,12.16,-75.88
15380,120.1484,-0.48,33.58,-2.01,1.94,46.48,-1.13,4.92,23,-4.42,11.15,-33.61,23.91,-51.75,10.71,-15.79,-4.62,1.69,-0.85,1.03,13.82,-0.88,52.81,19.64,-6.33,-98.34,20.49,-2.99,-57.2,5.57,-17.32,69.54,28.84,-8.41,-99.2,-9.08,-24.89,15.24,-74.3
15381,120.1563,-0.51,33.51,-2.06,2.13,46.71,-0.91,5.1,23.55,-4.14,11.36,-33.92,23.93,-51.36,10.54,-16.03,-4.73,1.78,-0.79,1.01,13.77,-0.81,53.01,18.95,-6.59,-98.6,20.73,-2.77,-57.4,5.31,-16.85,68.99,28.23,-8.26,-99.38,-8.96,-24.29,18.21,-72.53
15382,120.1641,-0.53,33.44,-2.1,2.35,46.94,-0.68,5.28,24.11,-3.85,11.59,-34.19,23.95,-50.95,10.35,-16.21,-4.85,1.87,-0.73,1.01,13.74,-0.78,53.19,18.26,-6.75,-98.62,20.97,-2.6,-57.69,5.01,-16.31,68.03,27.53,-8.12,-99.67,-8.83,-23.77,21.05,-70.57
15383,120.1719,-0.53,33.38,-2.14,2.58,47.16,-0.45,5.46,24.66,-3.55,11.84,-34.42,23.96,-50.53,10.14,-16.34,-4.98,1.96,-0.67,1.03,13.71,-0.79,53.35,17.57,-6.79,-98.39,21.23,-2.46,-58,4.67,-15.64,66.69,26.75,-7.98,-100.01,-8.7,-23.27,23.89,-68.37
15384,120.1797,-0.53,33.32,-2.17,2.83,47.38,-0.24,5.62,25.18,-3.24,12.1,-34.64,23.96,-50.09,9.93,-16.42,-5.1,2.05,-0.61,1.08,13.69,-0.82,53.48,16.9,-6.74,-97.95,21.51,-2.33,-58.27,4.31,-14.76,65.13,25.95,-7.85,-100.35,-8.58,-22.77,26.81,-65.97
15385,120.1875,-0.53,33.26,-2.19,3.11,47.58,-0.07,5.79,25.66,-2.92,12.36,-34.82,23.96,-49.64,9.73,-16.45,-5.23,2.11,-0.55,1.15,13.67,-0.82,53.57,16.24,-6.69,-97.39,21.83,-2.17,-58.45,3.96,-13.69,63.5,25.2,-7.71,-100.62,-8.46,-22.27,29.75,-63.39
15386,120.1953,-0.52,33.19,-2.19,3.41,47.78,0.06,5.98,26.09,-2.59,12.62,-34.99,23.96,-49.18,9.54,-16.45,-5.36,2.15,-0.49,1.22,13.66,-0.78,53.65,15.6,-6.66,-96.75,22.21,-1.99,-58.52,3.63,-12.37,61.92,24.56,-7.56,-100.77,-8.34,-21.75,32.81,-60.64
15387,120.2031,-0.51,33.12,-2.19,3.71,47.97,0.15,6.2,26.47,-2.26,12.86,-35.15,23.95,-48.72,9.38,-16.43,-5.5,2.17,-0.44,1.3,13.65,-0.72,53.72,14.99,-6.66,-96.03,22.65,-1.77,-58.45,3.34,-10.79,60.44,24.04,-7.39,-100.78,-8.24,-21.16,35.99,-57.72
15388,120.2109,-0.5,33.05,-2.18,3.99,48.15,0.22,6.45,26.8,-1.93,13.09,-35.31,23.95,-48.26,9.26,-16.4,-5.65,2.16,-0.4,1.38,13.63,-0.66,53.76,14.4,-6.65,-95.25,23.15,-1.54,-58.25,3.08,-8.99,59.1,23.61,-7.19,-100.68,-8.13,-20.48,39.2,-54.62
15389,120.2188,-0.49,32.97,-2.15,4.23,48.3,0.28,6.73,27.09,-1.59,13.3,-35.47,23.95,-47.81,9.16,-16.38,-5.81,2.13,-0.35,1.47,13.61,-0.64,53.78,13.83,-6.61,-94.43,23.69,-1.32,-58,2.82,-6.98,57.92,23.23,-6.98,-100.52,-8.03,-19.68,42.35,-51.35
15390,120.2266,-0.48,32.9,-2.12,4.45,48.43,0.32,7.03,27.35,-1.26,13.48,-35.65,23.96,-47.38,9.08,-16.37,-5.97,2.09,-0.31,1.55,13.59,-0.67,53.77,13.28,-6.52,-93.52,24.25,-1.12,-57.74,2.54,-4.8,56.83,22.86,-6.76,-100.37,-7.92,-18.77,45.38,-47.93
15391,120.2344,-0.47,32.83,-2.07,4.63,48.54,0.34,7.34,27.6,-0.94,13.64,-35.82,23.99,-46.97,9.02,-16.38,-6.15,2.03,-0.27,1.63,13.56,-0.75,53.75,12.74,-6.37,-92.55,24.82,-0.94,-57.54,2.25,-2.47,55.85,22.47,-6.53,-100.29,-7.8,-17.77,48.24,-44.41
15392,120.2422,-0.46,32.77,-2.02,4.77,48.64,0.35,7.66,27.82,-0.63,13.8,-35.98,24.01,-46.59,8.98,-16.39,-6.34,1.97,-0.24,1.71,13.53,-0.85,53.71,12.23,-6.22,-91.5,25.4,-0.77,-57.43,1.96,-0.08,54.98,22.09,-6.29,-100.31,-7.67,-16.7,50.9,-40.8
15393,120.25,-0.47,32.72,-1.95,4.89,48.72,0.35,8,28.02,-0.31,13.93,-36.13,24.05,-46.25,8.95,-16.41,-6.52,1.91,-0.2,1.79,13.49,-0.95,53.64,11.73,-6.13,-90.47,26.01,-0.61,-57.4,1.7,2.38,54.33,21.73,-6.04,-100.41,-7.53,-15.59,53.38,-37.14
15394,120.2578,-0.48,32.68,-1.88,4.98,48.83,0.35,8.33,28.21,-0.01,14.06,-36.27,24.1,-45.93,8.95,-16.44,-6.71,1.84,-0.17,1.87,13.46,-1.06,53.61,11.24,-6.12,-89.58,26.61,-0.44,-57.4,1.48,4.86,53.93,21.37,-5.77,-100.56,-7.38,-14.4,55.66,-33.44
15395,120.2656,-0.48,32.65,-1.8,5.05,48.94,0.35,8.64,28.39,0.28,14.19,-36.39,24.14,-45.65,8.94,-16.47,-6.89,1.78,-0.14,1.96,13.42,-1.13,53.56,10.77,-6.15,-88.83,27.2,-0.26,-57.43,1.32,7.39,53.79,20.9,-5.49,-100.74,-7.22,-13.11,57.68,-29.71
15396,120.2734,-0.5,32.63,-1.73,5.1,48.92,0.34,8.91,28.55,0.56,14.31,-36.5,24.17,-45.4,8.93,-16.53,-7.07,1.72,-0.11,2.05,13.39,-1.14,53.4,10.32,-6.16,-88.17,27.8,-0.06,-57.46,1.25,9.94,53.85,20.26,-5.2,-100.92,-7.06,-11.7,59.32,-26.02
15397,120.2813,-0.51,32.62,-1.66,5.16,48.98,0.32,9.16,28.72,0.83,14.42,-36.6,24.2,-45.16,8.91,-16.6,-7.24,1.67,-0.08,2.15,13.36,-1.06,53.33,9.89,-6.13,-87.73,28.41,0.15,-57.51,1.26,12.55,53.97,19.48,-4.89,-101.08,-6.88,-10.17,60.54,-22.38
15398,120.2891,-0.53,32.63,-1.6,5.23,49.09,0.29,9.41,28.9,1.08,14.52,-36.69,24.22,-44.93,8.93,-16.69,-7.41,1.62,-0.05,2.24,13.34,-0.96,53.33,9.49,-6.07,-87.47,29.04,0.35,-57.57,1.31,15.18,54.09,18.57,-4.56,-101.24,-6.71,-8.55,61.36,-18.8
15399,120.2969,-0.54,32.64,-1.56,5.32,49.21,0.25,9.64,29.07,1.31,14.6,-36.76,24.24,-44.71,8.95,-16.77,-7.59,1.56,-0.03,2.33,13.32,-0.89,53.35,9.11,-5.97,-87.38,29.65,0.51,-57.6,1.35,17.8,54.16,17.58,-4.21,-101.37,-6.54,-6.89,61.76,-15.28
15400,120.3047,-0.56,32.66,-1.53,5.41,49.34,0.2,9.85,29.24,1.52,14.67,-36.8,24.24,-44.51,8.97,-16.84,-7.76,1.51,0,2.42,13.31,-0.79,53.44,8.75,-5.86,-87.44,30.2,0.65,-57.67,1.42,20.46,54.4,16.44,-3.84,-101.49,-6.36,-5.19,61.96,-11.82
15401,120.3125,-0.58,32.69,-1.51,5.51,49.33,0.14,10.08,29.42,1.72,14.73,-36.84,24.24,-44.3,9.02,-16.92,-7.93,1.45,0.03,2.5,13.3,-0.73,53.44,8.41,-5.74,-87.42,30.66,0.74,-57.76,1.47,23.04,54.58,15.29,-3.44,-101.59,-6.18,-3.48,61.8,-8.38
15402,120.3203,-0.6,32.73,-1.5,5.62,49.43,0.08,10.31,29.6,1.9,14.77,-36.89,24.23,-44.09,9.08,-17,-8.09,1.38,0.06,2.58,13.29,-0.66,53.54,8.06,-5.65,-87.57,31,0.82,-57.86,1.56,25.52,54.76,14.11,-3.03,-101.7,-5.99,-1.7,61.36,-4.95
15403,120.3281,-0.62,32.77,-1.51,5.73,49.52,0.02,10.53,29.78,2.07,14.81,-36.95,24.22,-43.89,9.15,-17.08,-8.24,1.31,0.08,2.66,13.29,-0.56,53.66,7.72,-5.58,-87.78,31.17,0.88,-57.97,1.68,27.88,55,12.87,-2.6,-101.81,-5.8,0.19,60.7,-1.57
15404,120.3359,-0.63,32.81,-1.52,5.83,49.61,-0.03,10.75,29.95,2.22,14.84,-37.01,24.2,-43.7,9.23,-17.16,-8.38,1.23,0.11,2.74,13.29,-0.51,53.78,7.39,-5.54,-88.04,31.17,0.9,-58.09,1.79,30.11,55.33,11.57,-2.15,-101.92,-5.6,2.11,59.91,1.75
15405,120.3438,-0.63,32.85,-1.54,5.92,49.69,-0.08,10.96,30.12,2.37,14.87,-37.07,24.19,-43.53,9.31,-17.2,-8.51,1.16,0.13,2.82,13.3,-0.5,53.91,7.06,-5.56,-88.38,31,0.89,-58.21,1.9,32.22,55.78,10.21,-1.69,-102.04,-5.38,3.99,59.03,4.99
15406,120.3516,-0.63,32.9,-1.56,5.98,49.76,-0.11,11.17,30.29,2.5,14.9,-37.11,24.18,-43.35,9.41,-17.22,-8.63,1.08,0.15,2.91,13.31,-0.51,54.05,6.73,-5.64,-88.87,30.7,0.85,-58.33,2.01,34.25,56.46,8.82,-1.23,-102.15,-5.15,5.77,58.1,8.16
15407,120.3594,-0.62,32.94,-1.58,6.02,49.89,-0.12,11.38,30.44,2.61,14.93,-37.14,24.18,-43.18,9.52,-17.19,-8.74,0.99,0.17,2.99,13.32,-0.52,54.23,6.37,-5.8,-89.59,30.36,0.8,-58.45,2.16,36.24,57.43,7.41,-0.76,-102.25,-4.92,7.45,57.16,11.28
15408,120.3672,-0.62,32.99,-1.59,6.02,49.93,-0.1,11.57,30.58,2.71,14.96,-37.16,24.17,-43.01,9.63,-17.14,-8.83,0.9,0.18,3.08,13.34,-0.54,54.33,5.99,-6.11,-90.34,30.07,0.76,-58.57,2.35,38.15,58.65,6.1,-0.29,-102.37,-4.68,9.09,56.2,14.31
15409,120.375,-0.61,33.04,-1.61,5.99,49.99,-0.04,11.76,30.71,2.8,14.97,-37.19,24.16,-42.85,9.74,-17.06,-8.9,0.79,0.18,3.16,13.36,-0.61,54.47,5.58,-6.65,-91.1,29.9,0.71,-58.72,2.53,39.88,60.08,4.94,0.19,-102.5,-4.42,10.63,55.3,17.14
15410,120.3828,-0.6,33.1,-1.62,5.95,50.01,0.04,11.93,30.84,2.86,14.99,-37.22,24.15,-42.68,9.85,-16.97,-8.94,0.67,0.18,3.23,13.37,-0.7,54.58,5.13,-7.47,-91.74,29.9,0.63,-58.9,2.71,41.3,61.46,4.09,0.67,-102.65,-4.16,11.95,54.24,19.48
15411,120.3906,-0.57,33.16,-1.64,5.91,50,0.1,12.07,30.96,2.91,15,-37.26,24.12,-42.5,9.95,-16.89,-8.96,0.55,0.18,3.28,13.37,-0.79,54.65,4.68,-8.35,-92.34,30.07,0.55,-59.07,2.89,42.48,62.86,3.28,1.16,-102.8,-3.88,13.3,53.25,21.14
15412,120.3984,-0.54,33.21,-1.67,5.9,50.01,0.13,12.2,31.09,2.94,15.01,-37.29,24.08,-42.31,10.03,-16.8,-8.95,0.41,0.18,3.31,13.37,-0.85,54.76,4.23,-9,-92.85,30.32,0.48,-59.23,3.07,43.39,64.13,2.39,1.65,-102.93,-3.6,14.8,52.57,22.05
15413,120.4063,-0.5,33.25,-1.68,5.9,50.03,0.13,12.32,31.19,2.97,15.01,-37.29,24.03,-42.13,10.1,-16.71,-8.92,0.28,0.17,3.31,13.36,-0.91,54.88,3.78,-9.32,-93.15,30.58,0.41,-59.41,3.26,44.1,65.34,1.28,2.14,-103.05,-3.31,16.41,52.62,22.68
15414,120.4141,-0.45,33.29,-1.69,5.88,49.97,0.11,12.41,31.28,2.99,14.99,-37.25,23.96,-41.96,10.14,-16.61,-8.87,0.16,0.17,3.29,13.35,-0.97,54.94,3.34,-9.42,-93.18,30.8,0.34,-59.59,3.47,44.63,66.52,0.14,2.65,-103.14,-3.03,17.74,53.58,23.21
15415,120.4219,-0.4,33.31,-1.7,5.85,50,0.08,12.46,31.36,3,14.97,-37.16,23.87,-41.82,10.14,-16.48,-8.79,0.06,0.17,3.25,13.33,-1.03,55.11,2.91,-9.4,-93.12,31.01,0.27,-59.77,3.7,44.91,67.3,-0.37,3.16,-103.19,-2.75,18.09,55.05,23.62
15416,120.4297,-0.34,33.34,-1.71,5.82,50.01,0.03,12.51,31.43,2.99,14.92,-37.02,23.76,-41.67,10.14,-16.32,-8.7,-0.04,0.17,3.2,13.32,-1.08,55.3,2.5,-9.37,-92.89,31.31,0.19,-59.98,3.96,44.99,67.4,0.1,3.67,-103.24,-2.48,17.27,56.57,23.88
15417,120.4375,-0.29,33.36,-1.71,5.79,49.98,-0.05,12.56,31.49,2.98,14.85,-36.83,23.64,-41.53,10.14,-15.86,-8.68,-0.13,0.17,3.19,13.27,-1.12,55.46,2.15,-9.37,-92.44,31.66,0.09,-60.21,4.25,44.88,66.78,1.46,4.18,-103.31,-2.23,15.67,57.9,24.02
15418,120.4453,-0.23,33.38,-1.69,5.77,49.92,-0.15,12.61,31.54,2.96,14.77,-36.6,23.51,-41.38,10.15,-15.37,-8.63,-0.22,0.16,3.17,13.22,-1.15,55.53,1.84,-9.29,-91.81,32.1,-0.04,-60.41,4.57,44.66,65.63,3.34,4.69,-103.41,-1.98,13.83,59.07,24.07
15419,120.4531,-0.17,33.4,-1.66,5.7,49.83,-0.27,12.67,31.58,2.92,14.67,-36.34,23.39,-41.23,10.18,-15.12,-8.48,-0.32,0.16,3.1,13.23,-1.1,59.03,1.42,-9.17,-91.09,32.67,0,-64.08,4.83,44.4,64.2,5.57,5.22,-103.51,-1.73,12.18,60.03,23.96
15420,120.4609,-0.11,33.41,-1.63,5.57,49.74,-0.35,12.72,31.61,2.85,14.57,-36.04,23.26,-41.07,10.22,-14.83,-8.32,-0.4,0.15,3.03,13.23,-1.22,58.91,1.12,-9.05,-90.5,33.31,-0.16,-64.14,5.23,44.05,62.82,7.93,5.78,-103.63,-1.49,11.05,60.72,23.58
15421,120.4688,-0.06,33.43,-1.6,5.38,49.67,-0.38,12.75,31.64,2.75,14.45,-35.72,23.14,-40.92,10.27,-14.25,-8.22,-0.47,0.15,3,13.19,-1.37,58.71,0.79,-8.98,-90.13,33.84,-0.35,-64.12,5.7,43.55,61.57,10.15,6.38,-103.77,-1.25,10.86,60.89,22.82
15422,120.4766,-0.01,33.44,-1.58,5.17,49.65,-0.32,12.75,31.65,2.61,14.31,-35.38,23.03,-40.77,10.33,-13.67,-8.11,-0.52,0.15,2.95,13.16,-1.52,58.46,0.42,-8.83,-90.07,34.09,-0.59,-64.04,6.24,42.9,60.18,12.12,7.02,-103.94,-1.01,11.65,60.5,21.48
15423,120.4844,0,33.46,-1.56,4.96,49.29,-0.11,12.74,31.67,2.47,14.14,-35.05,22.96,-40.63,10.4,-13.08,-7.99,-0.56,0.16,2.87,13.11,-1.67,57.74,-0.04,-8.56,-89.73,33.91,-0.92,-63.92,6.83,42.18,58.75,13.44,7.7,-104.2,-0.76,12.42,59.58,18.8
15424,120.4922,-0.01,33.47,-1.54,4.74,48.89,0.37,12.7,31.71,2.33,13.93,-34.74,22.93,-40.47,10.46,-12.48,-7.87,-0.59,0.17,2.75,13.05,-1.88,56.88,-0.69,-8.38,-89.39,33.13,-1.35,-63.67,7.44,41.38,59.23,13.03,8.4,-104.44,-0.5,12.03,59.31,15.57
15425,120.5,0.09,33.49,-1.59,4.66,48.52,0.81,12.56,31.76,2.09,13.78,-34.42,22.87,-40.3,10.5,-11.88,-7.79,-0.65,0.19,2.56,12.95,-1.96,55.99,-1.4,-7.91,-89.72,32.16,-1.79,-63.23,8.11,41.32,61.32,11.08,9.15,-104.54,-0.25,11.26,59.92,13.09
15426,120.5078,0.26,33.47,-1.67,4.91,48.2,0.94,12.35,31.76,1.81,13.65,-34,22.81,-40.12,10.52,-11.26,-7.77,-0.78,0.19,2.33,12.82,-1.63,55.18,-1.88,-7.56,-89.87,31.5,-2.24,-62.82,8.9,41.6,63.12,9.4,9.95,-104.61,-0.02,11.3,60.76,10.74
15427,120.5156,0.35,33.41,-1.71,5.38,47.93,0.83,12.18,31.66,1.61,13.47,-33.46,22.83,-39.96,10.54,-10.63,-7.78,-0.95,0.18,2.12,12.67,-0.96,54.48,-2.04,-7.73,-89.28,31.18,-2.71,-62.57,9.84,41.35,64.21,8.87,10.82,-104.74,0.18,12.57,62.27,8.59
15428,120.5234,0.38,33.32,-1.73,5.75,47.69,0.73,12.01,31.44,1.46,13.25,-32.81,22.84,-39.85,10.53,-9.97,-7.8,-1.11,0.15,1.38,13.09,-0.36,53.83,-2.06,-7.94,-88.24,31.18,-3.27,-62.36,10.91,41.32,65.32,8.51,11.74,-104.88,0.36,13.78,64.6,8.47
15429,120.5313,0.39,33.24,-1.77,5.83,47.38,0.82,11.81,31.13,1.36,13.04,-32.09,22.8,-39.83,10.49,-9.26,-7.79,-1.2,0.12,1.19,13.07,-0.13,53.09,-2.18,-7.77,-86.48,31.39,-3.96,-62.14,12.02,41.29,66.1,8.58,12.73,-105.02,0.51,13.59,67.23,9.37
15430,120.5391,0.38,33.18,-1.81,5.76,47.01,1,11.52,30.74,1.28,12.83,-31.33,22.7,-39.93,10.4,-8.5,-7.73,-1.24,0.11,1.06,13.1,-0.15,52.25,-2.28,-7.09,-83.93,31.66,-4.81,-61.91,13.13,41.09,66.22,8.62,13.76,-105.19,0.61,13.17,69.74,9.66
15431,120.5469,0.4,33.16,-1.87,5.72,46.62,1.08,11.14,30.32,1.2,12.63,-30.56,22.54,-40.12,10.27,-7.88,-7.6,-1.23,0.09,0.92,13.23,-0.04,51.36,-2.27,-6.13,-80.95,31.98,-5.71,-61.62,14.37,40.97,65.93,8.59,14.83,-105.38,0.67,12.47,71.91,9.83
15432,120.5547,0.4,33.16,-1.95,5.72,46.22,1.08,10.73,29.87,1.1,12.45,-29.79,22.33,-40.39,10.13,-7.23,-7.42,-1.2,0.07,0.82,13.39,0.3,50.29,-2.19,-5.29,-78.24,32.41,-6.56,-61.11,15.83,41.07,65.89,8.55,15.93,-105.57,0.67,11.81,73.85,10.01
15433,120.5625,0.38,33.18,-2.02,5.71,45.83,1.11,10.35,29.4,1.01,12.28,-29.03,22.1,-40.72,10.01,-6.56,-7.19,-1.14,0.05,0.72,13.57,0.82,49.04,-2.12,-4.74,-76.03,32.71,-7.34,-60.35,17.46,41.05,65.92,8.69,17.06,-105.8,0.59,11.27,75.28,9.98
15434,120.5703,0.33,33.22,-2.08,5.68,45.45,1.19,10.02,28.95,0.93,12.12,-28.27,21.86,-41.11,9.92,-5.87,-6.91,-1.06,0.03,0.61,13.75,1.43,47.81,-2.08,-4.61,-74.43,32.64,-8.11,-59.58,19.19,40.64,65.94,9.06,18.2,-106.09,0.37,10.71,76.24,9.93
15435,120.5781,0.27,33.28,-2.14,5.67,45.05,1.24,9.73,28.54,0.82,11.97,-27.54,21.6,-41.55,9.85,-5.17,-6.58,-0.94,0.01,0.48,13.93,1.99,46.82,-2,-4.76,-73.59,32.22,-8.95,-59.08,20.88,40.04,66.32,9.27,19.35,-106.46,-0.02,10.03,77.12,10.05
15436,120.5859,0.2,33.36,-2.2,5.72,44.67,1.24,9.5,28.19,0.68,11.85,-26.87,21.33,-42.02,9.8,-4.48,-6.2,-0.78,-0.01,0.31,14.1,2.55,46.13,-1.77,-4.89,-73.37,31.58,-9.94,-58.88,22.56,39.53,67.17,9.07,20.51,-106.86,-0.58,9.21,78.01,10.27
15437,120.5938,0.12,33.44,-2.25,5.82,44.29,1.19,9.31,27.93,0.53,11.72,-26.25,21.07,-42.5,9.76,-3.82,-5.8,-0.56,-0.02,0.12,14.25,3.04,45.72,-1.36,-5,-73.51,30.9,-11.13,-58.93,24.21,39.09,68.23,8.65,21.69,-107.19,-1.31,8.42,78.78,10.4
15438,120.6016,0.04,33.53,-2.29,5.95,43.94,1.13,9.14,27.75,0.35,11.59,-25.72,20.85,-42.99,9.73,-3.21,-5.39,-0.31,-0.01,-0.09,14.39,3.55,46.53,-0.86,-5.21,-73.79,30.29,-12.44,-60,25.92,38.61,69.2,8.31,22.85,-107.41,-2.18,7.75,79.34,10.42
15439,120.6094,-0.04,33.63,-2.31,6.1,43.6,1.07,8.97,27.65,0.14,11.47,-25.26,20.67,-43.51,9.7,-2.66,-4.98,-0.02,0.01,-0.32,14.52,4.11,46.8,-0.28,-5.56,-74.2,29.71,-13.78,-60.41,27.62,38.03,69.83,8.25,23.93,-107.51,-3.18,7.19,79.55,10.38
15440,120.6172,-0.1,33.73,-2.31,6.27,43.28,1.01,8.78,27.58,-0.1,11.34,-24.89,20.55,-44.08,9.68,-2.01,-4.61,0.29,0.04,-0.52,14.61,4.52,47.26,0.3,-5.98,-74.88,29.05,-15.16,-60.88,29.14,37.35,70.16,8.43,24.88,-107.46,-4.37,6.67,79.27,10.31
15441,120.625,-0.16,33.84,-2.3,6.46,42.97,0.99,8.59,27.54,-0.36,11.21,-24.59,20.48,-44.69,9.67,-1.44,-4.26,0.6,0.07,-0.74,14.68,4.76,47.92,0.82,-6.37,-75.82,28.29,-16.44,-61.36,30.44,36.63,70.23,8.81,25.62,-107.16,-5.82,6.17,78.52,10.27
15442,120.6328,-0.21,33.96,-2.25,6.67,42.66,1.02,8.4,27.51,-0.62,11.07,-24.34,20.48,-45.34,9.69,-0.92,-3.93,0.89,0.09,-0.97,14.74,4.84,48.74,1.29,-6.73,-76.89,27.47,-17.55,-61.78,31.56,35.82,70,9.38,26.19,-106.61,-7.58,5.7,77.36,10.18
